# object_name   ref_object  relative_start_x relative_start_y   end_x end_y 
Ladder81   Ladder21  -22240 958   1 -2 
Ladder82   Snake74  46930 -24419   0 -2 
Snake83   Snake68  -11379 -10993   1 3 
Ladder84   Ladder57  3275 14745   0 -5 
Snake85   Ladder65  40309 1835   -1 5 
Snake86   Ladder42  -23978 797   -2 5 
Snake87   Ladder71  -25005 8911   -1 3 
Snake88   Ladder21  3790 -22693   -3 1 
Ladder89   Ladder30  -44232 -12678   0 -1 
Ladder90   Ladder55  -27135 39881   -1 -4 
Snake91   Snake80  -12792 -7760   -5 3 
Snake92   Snake16  8974 -16357   -4 2 
Snake93   Ladder71  -3807 -3121   -1 4 
Snake94   Snake91  11164 14837   -1 1 
Snake95   Snake48  2878 6524   -1 5 
Ladder96   Snake95  41489 -18178   5 -5 
Ladder97   Ladder78  -4612 -24280   0 -3 
Snake98   Ladder70  9938 -26409   -2 1 
Ladder99   Snake86  9337 -14362   1 -3 
Snake100   Snake24  2133 -6533   2 3 
Ladder101   Ladder31  -16919 10148   -5 -4 
Snake102   Origin  49231 14036   -1 1 
Snake103   Ladder78  -5904 9428   5 4 
Ladder104   Ladder41  8618 -37248   2 -2 
Ladder105   Ladder90  11986 -10214   -2 -2 
Snake106   Ladder70  -6735 -24100   -4 3 
Snake107   Ladder9  -24566 13338   0 3 
Snake108   Ladder9  -24505 7679   -4 4 
Ladder109   Snake103  7911 -28083   2 -2 
Ladder110   Snake88  -23753 5796   -2 -5 
Snake111   Snake72  36440 -38162   2 5 
Ladder112   Ladder7  -21938 14728   -4 -3 
Snake113   Snake88  -21508 -442   1 2 
Ladder114   Ladder104  21114 9236   3 -4 
Ladder115   Ladder13  -1832 35125   1 -1 
Ladder116   Snake61  -28347 12758   1 -5 
Snake117   Snake68  -9675 9695   2 4 
Snake118   Ladder101  -12734 3920   -5 3 
Snake119   Snake47  -6284 41686   0 3 
Ladder120   Ladder82  -38889 1767   -1 -4 
Snake121   Ladder4  5528 21946   -1 1 
Ladder122   Ladder77  22867 4560   0 -2 
Ladder123   Ladder28  5656 -6849   4 -2 
Ladder124   Ladder116  33102 -37247   -1 -5 
Snake125   Snake103  32948 -31321   -5 5 
Ladder126   Ladder81  11589 -19988   3 -4 
Ladder127   Snake37  -2770 -10341   -4 -2 
Snake128   Ladder12  -7004 349   5 2 
Snake129   Ladder84  24254 1994   -5 3 
Ladder130   Ladder78  15112 2584   0 -5 
Ladder131   Ladder21  3678 -8181   -1 -3 
Snake132   Ladder109  6546 5630   3 3 
Snake133   Ladder62  22061 15417   5 3 
Ladder134   Snake48  9502 -16737   1 -5 
Snake135   Ladder97  -4393 11604   4 4 
Snake136   Ladder58  3657 -4331   4 1 
Snake137   Ladder30  -17393 -678   0 3 
Ladder138   Ladder4  1157 26469   -1 -3 
Ladder139   Snake72  -1904 -12540   -5 -5 
Snake140   Ladder66  -37937 14761   2 2 
Snake141   Snake102  -752 -3992   -1 2 
Snake142   Ladder90  37571 -42656   5 5 
Snake143   Snake121  15169 -19534   -5 1 
Snake144   Snake132  -13888 22158   -2 2 
Snake145   Ladder39  18325 -13571   0 3 
Ladder146   Snake86  -9052 28535   3 -4 
Ladder147   Ladder89  35644 9283   -4 -2 
Ladder148   Snake85  -21281 -18999   4 -4 
Ladder149   Ladder134  24515 43856   -2 -1 
Snake150   Ladder96  -5090 37746   3 4 
Ladder151   Ladder33  24900 31348   4 -2 
Snake152   Snake22  13631 -5579   -1 4 
Ladder153   Snake98  -25284 31634   5 -5 
Snake154   Snake74  27242 -20625   0 2 
Snake155   Ladder66  -21437 3766   2 4 
Ladder156   Ladder56  -12875 -5564   -2 -4 
Ladder157   Ladder67  -11420 23323   5 -4 
Snake158   Ladder84  929 -16223   -4 3 
Ladder159   Snake64  28182 29660   3 -3 
Ladder160   Snake111  -31508 7671   -1 -2 
Ladder161   Ladder44  18330 17886   -2 -5 
Snake162   Ladder146  4667 -38351   -3 4 
Ladder163   Snake11  -40836 -14243   -5 -1 
Snake164   Ladder4  -5358 28414   5 5 
Snake165   Ladder44  13823 -3722   0 2 
Snake166   Snake164  1993 -1845   -4 2 
Ladder167   Snake164  38485 -35624   -1 -3 
Ladder168   Snake37  10570 -23771   0 -4 
Ladder169   Snake158  33846 -2181   4 -3 
Ladder170   Snake0  -600 14958   -4 -1 
Snake171   Ladder41  19563 -5375   -5 1 
Ladder172   Snake129  -22633 -36940   -3 -5 
Ladder173   Snake48  34392 3897   4 -2 
Ladder174   Snake25  8123 30387   -2 -2 
Snake175   Snake74  6120 -17256   1 1 
Snake176   Ladder42  -26683 -10705   5 5 
Snake177   Ladder65  16884 -30097   -1 4 
Ladder178   Ladder63  -11593 9872   -3 -5 
Snake179   Snake24  17020 -8858   -2 4 
Ladder180   Ladder29  -22438 8484   -5 -5 
Snake181   Snake72  27870 -20189   4 1 
Snake182   Ladder159  -20661 -10040   2 2 
Ladder183   Snake179  -505 -19513   -5 -4 
Snake184   Ladder90  25212 -2381   -3 5 
Snake185   Snake143  -24956 10404   3 4 
Ladder186   Ladder30  -27385 10237   2 -3 
Snake187   Ladder84  26071 -872   3 2 
Ladder188   Snake182  23891 12530   -4 -5 
Snake189   Ladder115  -12972 -38971   2 4 
Ladder190   Ladder3  45061 -14378   1 -2 
Snake191   Ladder159  -13551 -8345   -3 3 
Ladder192   Snake152  -7420 46887   -3 -3 
Snake193   Snake64  3503 38674   2 3 
Ladder194   Snake179  -2436 -28688   5 -2 
Snake195   Snake182  28321 -20976   5 5 
Snake196   Origin  38561 20914   -5 3 
Snake197   Snake119  -8892 -23817   -1 3 
Ladder198   Ladder134  34361 28535   -4 -2 
Ladder199   Ladder56  -30393 -10281   -3 -4 
Ladder200   Snake137  -19734 -8640   5 -2 
Ladder201   Snake197  25624 -4599   -3 -4 
Ladder202   Ladder58  34238 -107   -2 -2 
Snake203   Ladder70  -13254 16247   -3 1 
Ladder204   Snake154  -25830 -7356   1 -4 
Ladder205   Ladder201  -21286 -12157   -4 -2 
Ladder206   Snake40  -14236 13419   -4 -5 
Snake207   Snake117  7074 7741   0 1 
Ladder208   Ladder6  11195 14338   5 -4 
Ladder209   Ladder6  -6027 -12896   2 -5 
Snake210   Ladder97  34305 5771   -4 3 
Snake211   Ladder21  -4086 -43665   -4 2 
Snake212   Snake177  13109 32059   -4 5 
Ladder213   Ladder20  10273 12697   3 -5 
Snake214   Ladder163  41857 20220   4 4 
Ladder215   Snake196  -2272 -9299   -1 -1 
Snake216   Snake25  -26641 4055   -3 3 
Snake217   Snake143  1418 9039   -1 4 
Snake218   Snake18  -27967 -20348   -5 4 
Snake219   Snake61  -25810 -2413   3 5 
Snake220   Ladder58  29929 1085   -3 4 
Ladder221   Snake119  36425 -9725   -5 -5 
Ladder222   Ladder159  -14321 9924   1 -2 
Ladder223   Snake176  24500 -4373   1 -4 
Ladder224   Snake72  35774 -4606   3 -1 
Snake225   Ladder7  7030 37226   -5 4 
Snake226   Snake68  -10008 26678   -1 2 
Ladder227   Snake102  126 17466   -1 -5 
Snake228   Ladder82  -35916 14071   -1 4 
Snake229   Ladder168  -14957 -10315   5 5 
Ladder230   Snake51  14052 44169   -3 -5 
Snake231   Ladder224  -22574 -12049   -2 2 
Snake232   Snake27  9414 -39206   -2 3 
Snake233   Snake211  14911 5272   4 1 
Ladder234   Snake211  -26668 7302   -2 -1 
Snake235   Snake212  -2523 -22551   2 2 
Snake236   Snake152  -1544 14802   -5 1 
Snake237   Ladder39  -18994 -10189   -3 4 
Ladder238   Snake94  -1093 4290   3 -1 
Snake239   Snake125  -482 -7562   2 3 
Snake240   Snake0  27836 16935   4 3 
Ladder241   Snake107  21586 5748   3 -5 
Snake242   Ladder222  19844 -17410   -5 4 
Snake243   Snake94  -18632 -20810   -1 1 
Snake244   Ladder90  34867 -39408   -2 5 
Ladder245   Ladder186  25743 -40328   4 -5 
Snake246   Snake150  -25622 -21949   -4 2 
Snake247   Ladder115  -32214 5247   -5 4 
Snake248   Ladder44  25226 4301   4 1 
Ladder249   Ladder6  4899 -22935   -4 -3 
Snake250   Ladder190  -22173 17009   -2 1 
Ladder251   Ladder96  -44246 17982   -4 -1 
Ladder252   Ladder76  -5351 12060   -4 -4 
Snake253   Snake54  22680 26013   3 1 
Snake254   Snake118  29219 -11765   -5 3 
Snake255   Ladder199  29607 24120   4 1 
Ladder256   Snake187  -25848 -26420   -3 -5 
Ladder257   Snake86  900 -730   -1 -1 
Ladder258   Snake195  -55 14346   5 -1 
Ladder259   Snake25  -422 18229   0 -3 
Ladder260   Ladder38  15038 1952   -3 -4 
Ladder261   Ladder57  44871 -12486   1 -4 
Snake262   Snake91  14549 -12190   3 1 
Snake263   Snake210  -4164 13452   -1 1 
Ladder264   Ladder6  26430 -13364   5 -1 
Snake265   Ladder38  22971 2079   -4 4 
Snake266   Ladder1  2690 25180   -5 4 
Ladder267   Ladder26  20870 -37421   3 -3 
Snake268   Ladder169  3542 -13120   -4 3 
Snake269   Ladder90  24258 -10928   -2 1 
Ladder270   Snake255  959 -12257   0 -5 
Snake271   Ladder168  20376 28715   0 4 
Snake272   Snake143  -5925 34602   1 3 
Snake273   Ladder221  -33169 -9005   5 3 
Snake274   Snake232  -2714 20722   5 5 
Snake275   Ladder227  -9167 -6357   2 2 
Snake276   Snake140  37516 -5817   -2 5 
Snake277   Ladder124  -6124 7346   1 4 
Ladder278   Ladder28  35705 -4278   5 -1 
Ladder279   Snake184  -29910 -8365   2 -2 
Ladder280   Snake94  -16895 -36368   -5 -2 
Snake281   Ladder161  -6908 -22002   1 1 
Ladder282   Ladder208  -16742 -1591   3 -1 
Snake283   Snake155  -16541 14402   -1 2 
Ladder284   Snake266  18688 -17062   -2 -5 
Snake285   Snake91  -2635 -10728   5 5 
Snake286   Ladder260  336 -13053   5 4 
Ladder287   Snake187  -30282 -34469   5 -5 
Ladder288   Snake95  15865 19356   2 -5 
Ladder289   Snake235  -12701 4038   4 -2 
Snake290   Snake47  -1602 -1322   -5 3 
Ladder291   Ladder194  -13504 14001   -5 -5 
Snake292   Ladder1  799 17577   -2 3 
Snake293   Ladder282  -11507 -29909   0 5 
Snake294   Ladder3  7408 -13943   5 5 
Ladder295   Snake119  19902 -9177   -4 -4 
Ladder296   Ladder82  -24530 -5736   -1 -2 
Ladder297   Snake140  42494 17297   4 -5 
Ladder298   Ladder34  -32466 31008   1 -3 
Ladder299   Ladder33  7139 -3058   -3 -5 
Snake300   Snake83  34592 12290   0 1 
Snake301   Snake158  2172 5166   2 3 
Ladder302   Snake176  -3890 3319   -4 -1 
Ladder303   Ladder1  16712 18827   -3 -5 
Ladder304   Snake18  -20654 -23124   3 -5 
Snake305   Snake184  -9274 -18294   -4 5 
Ladder306   Snake150  -8750 2292   3 -4 
Ladder307   Ladder297  -34820 -30959   -4 -5 
Ladder308   Snake285  11862 -7260   -1 -5 
Ladder309   Snake145  5290 4110   -1 -1 
Ladder310   Snake87  32835 -19042   -5 -3 
Snake311   Ladder284  -23472 -17417   1 1 
Ladder312   Ladder198  -29076 5214   -2 -5 
Snake313   Ladder153  17012 4898   -2 3 
Ladder314   Snake269  8405 7027   -4 -3 
Ladder315   Ladder224  -4829 -8505   -4 -5 
Snake316   Ladder90  12575 -25413   -5 5 
Snake317   Ladder296  -870 26898   2 5 
Snake318   Snake175  20874 -16196   1 1 
Ladder319   Snake250  166 -21944   5 -2 
Ladder320   Ladder67  -12231 8488   -2 -5 
Snake321   Ladder17  17957 -14474   -4 1 
Ladder322   Ladder310  -24014 16447   3 -2 
Ladder323   Ladder295  -580 -5605   0 -1 
Snake324   Snake311  17518 8415   4 5 
Snake325   Ladder221  -9776 -4083   -1 4 
Snake326   Ladder8  -32136 -13711   -4 1 
Snake327   Ladder75  23871 -31769   4 4 
Snake328   Snake212  -3188 -32099   0 5 
Snake329   Ladder206  34199 -10741   0 3 
Ladder330   Snake48  35727 9579   2 -2 
Ladder331   Ladder256  17862 -7731   1 -3 
Snake332   Ladder146  32597 -28338   -5 1 
Snake333   Snake233  -30158 -5637   3 3 
Ladder334   Snake91  17801 17379   4 -5 
Ladder335   Ladder190  -11444 -30129   4 -3 
Snake336   Ladder78  6827 3329   1 3 
Ladder337   Snake263  -477 21122   5 -5 
Ladder338   Ladder205  42317 33411   -3 -1 
Snake339   Snake233  -41663 32511   -2 4 
Snake340   Snake285  5945 30701   -1 2 
Snake341   Ladder151  -7684 -19204   2 2 
Ladder342   Snake48  46944 -7319   3 -4 
Ladder343   Snake187  -5785 -45089   -4 -5 
Snake344   Snake100  -9435 2784   0 3 
Snake345   Snake177  4686 6188   -4 1 
Snake346   Snake164  16753 -28067   1 4 
Snake347   Snake162  37716 3063   -5 3 
Snake348   Snake14  6951 11833   -3 1 
Ladder349   Snake32  -3912 20970   -4 -4 
Ladder350   Ladder1  26311 28722   -2 -5 
Snake351   Snake119  15659 -10761   -1 2 
Ladder352   Snake231  19569 -18395   -1 -2 
Ladder353   Snake351  11475 -4460   1 -4 
Snake354   Ladder298  -12410 7857   2 1 
Ladder355   Ladder69  -27453 2671   -4 -4 
Ladder356   Snake195  -6361 3542   3 -4 
Ladder357   Snake60  1535 2520   5 -1 
Snake358   Snake277  -9228 22195   3 2 
Ladder359   Ladder206  11417 -23640   1 -2 
Snake360   Snake325  9215 14707   2 2 
Ladder361   Snake191  -14010 18120   4 -4 
Snake362   Ladder355  -7567 -4619   -3 4 
Snake363   Snake218  -4243 40030   -3 4 
Snake364   Snake40  19502 -25518   1 4 
Ladder365   Snake244  -12619 28457   -2 -1 
Snake366   Snake272  11784 -22348   -3 5 
Ladder367   Snake72  9976 -11119   0 -4 
Snake368   Snake47  26281 12634   0 5 
Snake369   Ladder241  7706 -9534   -5 2 
Snake370   Snake214  -3327 -5814   -5 2 
Ladder371   Ladder159  -23614 -33704   0 -5 
Snake372   Ladder35  -7273 25055   0 2 
Snake373   Ladder90  38891 -47551   -3 1 
Snake374   Snake363  43813 -34477   1 1 
Ladder375   Snake64  40870 20904   3 -3 
Ladder376   Ladder350  -42330 -40286   -5 -4 
Ladder377   Snake332  -8711 -3622   5 -3 
Snake378   Ladder202  -13596 15115   5 1 
Ladder379   Snake216  16574 25667   -4 -4 
Snake380   Ladder359  6166 -22035   -5 1 
Ladder381   Snake214  -30585 3773   2 -2 
Snake382   Ladder256  40142 -7612   -5 4 
Snake383   Snake345  -18331 2994   -2 2 
Snake384   Ladder261  -3028 18051   4 4 
Ladder385   Ladder227  -6288 -2444   -2 -2 
Snake386   Ladder157  648 -31199   1 4 
Ladder387   Ladder3  41199 -13435   -4 -5 
Ladder388   Ladder173  7864 14388   2 -4 
Ladder389   Snake212  -1476 -27834   -2 -3 
Ladder390   Snake317  -15676 -14087   -5 -4 
Ladder391   Ladder201  -18201 -5183   0 -2 
Snake392   Ladder4  28472 26703   4 5 
Ladder393   Snake218  25655 20312   -3 -2 
Ladder394   Snake228  36194 2101   3 -1 
Snake395   Ladder99  -15469 12273   -4 3 
Snake396   Ladder65  -1584 15392   -1 5 
Snake397   Ladder8  -2189 -3431   4 4 
Snake398   Ladder252  -43383 -22234   4 2 
Ladder399   Ladder67  16946 7975   4 -3 
Snake400   Snake154  -3936 14958   0 5 
Ladder401   Ladder287  13592 5758   0 -1 
Snake402   Snake136  3836 9798   2 4 
Snake403   Ladder41  25214 -6340   4 1 
Ladder404   Ladder81  -5463 -21126   -2 -2 
Snake405   Snake64  38114 40958   2 5 
Ladder406   Snake32  -19704 -473   -5 -5 
Ladder407   Snake119  33960 -6777   3 -5 
Snake408   Ladder350  -28908 -43095   2 5 
Snake409   Snake152  -5110 25255   -2 1 
Ladder410   Ladder389  -2357 28875   -5 -3 
Snake411   Ladder241  3770 -36301   -3 4 
Snake412   Ladder338  -9938 -10549   -2 5 
Ladder413   Snake74  46515 9763   -4 -4 
Ladder414   Snake378  -2071 -22385   5 -3 
Ladder415   Snake411  2768 30507   0 -3 
Ladder416   Snake324  -4370 -8656   0 -5 
Ladder417   Snake184  -3790 -45293   -1 -5 
Snake418   Ladder9  -36059 15660   3 4 
Ladder419   Ladder159  109 -2488   -5 -3 
Ladder420   Snake136  34292 4909   -5 -1 
Snake421   Snake19  21089 -5122   -2 4 
Ladder422   Snake85  -36296 -3761   0 -2 
Ladder423   Snake372  -12882 -19888   -2 -3 
Ladder424   Snake129  -15879 -31885   1 -5 
Ladder425   Snake15  1897 24047   -5 -4 
Ladder426   Snake137  8697 7432   4 -2 
Snake427   Snake74  20153 -33056   -2 4 
Ladder428   Ladder425  22079 -22177   1 -2 
Snake429   Snake197  16405 23596   1 4 
Ladder430   Ladder322  7796 -21235   -5 -3 
Ladder431   Snake19  -13607 -10550   0 -2 
Ladder432   Ladder279  42753 -12646   1 -2 
Ladder433   Ladder30  -4211 -19785   5 -5 
Ladder434   Snake255  -14381 -32317   4 -2 
Ladder435   Snake220  -11228 -17020   4 -1 
Ladder436   Snake117  33745 14391   -3 -2 
Snake437   Snake40  -10658 5423   -4 4 
Snake438   Snake113  -8357 -14271   -5 1 
Ladder439   Snake327  -40675 16882   -5 -5 
Snake440   Ladder160  19171 16115   2 1 
Snake441   Ladder200  2812 -1187   -3 3 
Ladder442   Snake301  35625 -15019   1 -3 
Snake443   Ladder299  8688 5373   5 3 
Ladder444   Snake85  -4485 9621   2 -3 
Ladder445   Snake226  9913 -20059   0 -3 
Snake446   Ladder338  -11093 -25438   2 2 
Ladder447   Ladder167  -8616 44715   5 -1 
Ladder448   Ladder84  -6314 -11955   4 -3 
Snake449   Ladder230  -17765 -6861   -5 4 
Ladder450   Snake64  -295 33068   2 -5 
Snake451   Ladder342  -34323 11974   2 3 
Ladder452   Snake443  -10753 -7794   -3 -2 
Ladder453   Snake165  22934 -846   4 -2 
Snake454   Snake368  -38591 9596   -1 3 
Ladder455   Snake119  38630 -31818   2 -1 
Snake456   Snake22  5855 8857   -1 2 
Snake457   Ladder417  14753 40754   -4 3 
Ladder458   Snake235  -30933 -661   -5 -2 
Ladder459   Ladder147  -24296 -376   -2 -5 
Ladder460   Ladder399  -31018 -3578   -5 -5 
Snake461   Snake373  -17642 22441   -2 4 
Snake462   Ladder99  13568 19934   1 5 
Snake463   Ladder391  -3586 13922   -1 1 
Snake464   Snake262  15587 -7040   0 1 
Snake465   Snake61  -28535 19015   4 3 
Snake466   Ladder186  323 -38014   -2 2 
Ladder467   Snake207  -2158 -7801   -5 -1 
Ladder468   Snake64  2257 12404   -5 -5 
Snake469   Ladder234  13816 30207   -4 1 
Ladder470   Ladder78  -13956 8500   -5 -5 
Ladder471   Snake285  5177 29263   3 -2 
Snake472   Ladder62  25690 7984   -3 1 
Snake473   Ladder55  14335 16467   -4 2 
Snake474   Snake294  34810 -12172   1 3 
Snake475   Ladder406  20118 35748   4 2 
Snake476   Snake382  -41288 4170   5 4 
Ladder477   Snake25  -6415 -3377   2 -4 
Ladder478   Ladder199  10294 -17179   -4 -5 
Snake479   Ladder138  -10255 -24100   5 3 
Ladder480   Ladder38  26524 3770   -3 -3 
Snake481   Ladder323  12139 -26751   -4 4 
Snake482   Ladder304  12823 45932   -2 1 
Ladder483   Snake395  29179 20930   5 -4 
Snake484   Snake313  3331 -28948   5 3 
Snake485   Ladder167  -40221 40535   -2 2 
Snake486   Snake19  28191 10137   1 1 
Ladder487   Snake276  -37284 39063   -3 -2 
Snake488   Ladder234  4390 20262   -1 1 
Ladder489   Snake32  -6653 16986   0 -1 
Snake490   Ladder460  6515 24619   3 2 
Ladder491   Ladder319  -16982 -15069   -5 -1 
Ladder492   Snake368  -25043 3192   -2 -5 
Snake493   Ladder99  -417 39784   0 3 
Ladder494   Snake408  21229 19419   5 -3 
Snake495   Ladder13  -10844 34452   -5 5 
Ladder496   Snake27  -12769 -14079   3 -4 
Snake497   Ladder314  -28142 -7528   5 5 
Ladder498   Ladder39  4228 14806   -5 -5 
Ladder499   Snake485  20073 -24716   -3 -3 
Snake500   Ladder159  -15800 -6752   -5 3 
Snake501   Snake372  13409 -820   4 4 
Snake502   Snake364  -22950 20405   -2 4 
Ladder503   Snake368  3228 2889   3 -3 
Ladder504   Snake382  -46197 27815   0 -4 
Snake505   Snake451  -1639 25099   3 2 
Snake506   Snake305  16858 16404   -3 3 
Ladder507   Ladder261  -48449 28140   -3 -5 
Snake508   Ladder56  -14498 -20767   4 1 
Ladder509   Ladder478  16071 19521   -2 -4 
Snake510   Ladder2  45310 -2468   0 2 
Ladder511   Snake290  3892 13203   -2 -4 
Ladder512   Snake360  -1952 -5103   -2 -1 
Ladder513   Ladder342  -13285 13156   -5 -5 
Snake514   Ladder512  -22146 -38601   2 3 
Snake515   Ladder223  8257 9304   4 3 
Ladder516   Snake45  26793 -7835   5 -1 
Ladder517   Snake137  -12590 -17374   -5 -3 
Snake518   Snake344  -7706 -11043   5 5 
Snake519   Snake118  -2793 4963   -4 5 
Snake520   Snake412  -24326 19436   2 5 
Ladder521   Snake176  13879 30185   2 -5 
Ladder522   Snake344  8684 1614   -5 -5 
Ladder523   Ladder442  -37629 -20837   -1 -4 
Ladder524   Snake54  24813 1219   2 -3 
Snake525   Ladder483  58 -21677   1 5 
Snake526   Snake411  -21668 42667   -3 5 
Snake527   Snake226  4091 1820   0 3 
Ladder528   Snake18  11028 -12384   0 -5 
Snake529   Ladder26  25426 1445   0 5 
Ladder530   Snake421  -32786 -18113   1 -2 
Snake531   Ladder393  -29886 -20510   5 3 
Ladder532   Ladder202  -30729 9519   -2 -5 
Ladder533   Snake135  179 -9212   -5 -5 
Snake534   Snake482  4935 -4928   3 5 
Ladder535   Snake184  -7116 -9893   1 -5 
Snake536   Snake292  14298 -31661   -3 3 
Snake537   Ladder224  -23333 2258   -4 1 
Ladder538   Ladder69  9581 39917   5 -2 
Ladder539   Snake454  15132 -14680   -5 -5 
Snake540   Snake364  -1801 37704   5 1 
Ladder541   Ladder122  -16427 -1740   4 -5 
Ladder542   Ladder201  11483 -1967   -4 -5 
Snake543   Snake24  -26700 -3923   -1 1 
Ladder544   Snake332  -37048 1562   3 -1 
Ladder545   Ladder393  -26345 -14757   -5 -2 
Ladder546   Ladder78  13072 -12503   3 -2 
Ladder547   Ladder371  5473 36923   -5 -2 
Snake548   Ladder96  3090 21330   -1 2 
Ladder549   Snake23  -13684 -36351   0 -1 
Ladder550   Ladder279  26998 -26430   -4 -5 
Ladder551   Ladder287  43263 -1804   1 -3 
Ladder552   Snake133  168 -13026   -1 -5 
Ladder553   Ladder205  -4017 44913   -1 -3 
Snake554   Snake490  20457 -30474   2 5 
Snake555   Snake255  17040 -32013   -1 3 
Snake556   Ladder222  18858 -42929   4 1 
Snake557   Snake336  623 10632   2 2 
Ladder558   Ladder31  -7232 27079   -3 -5 
Snake559   Snake351  -5536 -26734   -2 5 
Ladder560   Ladder415  -30703 -2157   -5 -5 
Snake561   Snake555  -6678 30450   2 5 
Snake562   Snake400  -1840 -18134   -1 1 
Ladder563   Snake555  -25972 -734   -1 -1 
Snake564   Ladder127  41785 8614   3 4 
Snake565   Snake40  -568 7552   1 2 
Snake566   Ladder407  -12598 -13716   2 4 
Ladder567   Snake412  6412 -22344   1 -2 
Ladder568   Ladder252  -37747 -10614   1 -1 
Snake569   Ladder194  -2633 29515   -3 4 
Ladder570   Ladder122  -42490 -2144   1 -5 
Ladder571   Ladder234  40972 24362   3 -2 
Snake572   Ladder338  -18327 8815   3 3 
Snake573   Ladder123  28993 5168   3 1 
Ladder574   Ladder467  518 -9894   -5 -2 
Snake575   Snake473  -40221 24243   0 5 
Snake576   Ladder264  -12601 -4184   -4 5 
Snake577   Ladder432  -8361 7754   5 3 
Ladder578   Snake443  -21726 19604   4 -5 
Ladder579   Ladder431  8192 6217   -5 -2 
Ladder580   Ladder17  -4998 -29593   -4 -3 
Ladder581   Ladder542  -1993 24460   -5 -2 
