# object_name   ref_object  relative_start_x relative_start_y   end_x end_y 
Ladder92   Snake39  -1671 -6170   -2 -4 
Snake93   Snake76  1742 -3272   5 2 
Snake94   Ladder59  3791 -5952   0 3 
Ladder95   Ladder27  -1715 1391   4 -1 
Snake96   Snake93  -2527 -3846   1 4 
Ladder97   Snake81  -1593 566   5 -5 
Snake98   Ladder33  -666 -2625   -3 5 
Snake99   Snake9  -2556 -8071   -3 4 
Ladder100   Ladder32  4911 468   -3 -3 
Ladder101   Snake16  9135 -444   -3 -3 
Snake102   Ladder82  4212 6417   -2 2 
Snake103   Ladder13  2419 6637   -3 1 
Snake104   Ladder13  7841 5125   -4 1 
Ladder105   Snake16  3775 -2587   0 -2 
Ladder106   Snake31  -3460 3503   -5 -4 
Ladder107   Snake102  -3075 -7251   -3 -1 
Snake108   Snake72  701 1989   1 5 
Ladder109   Snake72  1748 886   5 -1 
Ladder110   Snake76  -3807 -356   2 -5 
Snake111   Snake54  -3692 2854   2 1 
Snake112   Snake7  1955 -5974   4 3 
Ladder113   Snake102  -986 -2184   -3 -2 
Ladder114   Ladder43  4792 6626   5 -3 
Ladder115   Ladder22  -6040 9258   -2 -3 
Ladder116   Snake85  -3324 4149   1 -4 
Ladder117   Ladder18  -6114 2142   0 -4 
Ladder118   Ladder63  -8567 2159   4 -1 
Ladder119   Ladder110  2008 732   -2 -1 
Ladder120   Snake53  5064 -490   -5 -1 
Snake121   Snake6  1216 -3231   -4 4 
Snake122   Ladder107  -4206 1398   -5 5 
Ladder123   Snake122  2448 2645   5 -1 
Ladder124   Snake94  -3375 7543   -5 -1 
Ladder125   Ladder22  -3977 8472   3 -5 
Snake126   Snake98  11 -627   0 1 
Ladder127   Snake76  2598 -6585   -2 -1 
Snake128   Ladder18  -4591 133   -5 5 
Ladder129   Ladder80  -805 -463   -4 -1 
Ladder130   Snake104  -4015 -7187   -2 -3 
Snake131   Snake10  4926 7805   -1 5 
Snake132   Ladder97  -3800 -3457   -1 1 
Snake133   Ladder19  -2389 1428   2 4 
Snake134   Snake87  -3244 7596   2 4 
Snake135   Ladder90  -6493 7536   5 3 
Ladder136   Ladder2  -7300 211   1 -2 
Ladder137   Ladder92  1713 2937   1 -1 
Ladder138   Snake79  -2018 -3199   3 -5 
Ladder139   Ladder67  104 -4693   5 -2 
Ladder140   Snake42  3796 -954   2 -4 
Snake141   Ladder69  3739 -3457   -5 3 
Ladder142   Ladder97  -2735 -2791   -2 -3 
Snake143   Snake29  -6243 -1565   -2 2 
Snake144   Ladder106  -1938 4756   2 5 
Ladder145   Ladder71  -872 4825   -1 -5 
Ladder146   Snake144  2982 -3432   4 -3 
Snake147   Snake122  -2195 6466   -2 5 
Ladder148   Snake122  3845 -2379   5 -3 
Snake149   Ladder30  -3586 1231   -2 5 
Snake150   Origin  2349 3388   -5 1 
Ladder151   Ladder22  -3884 416   5 -4 
Ladder152   Snake111  -4519 5212   -5 -1 
Snake153   Snake132  847 1348   -5 2 
Snake154   Ladder116  -1543 -2286   -4 2 
Ladder155   Snake104  -5523 -3091   3 -1 
Ladder156   Snake98  612 3488   1 -5 
Snake157   Snake47  6549 3641   -2 5 
Snake158   Ladder18  -3761 1065   -4 2 
Ladder159   Snake112  -7648 1764   -3 -1 
Ladder160   Snake72  -657 7263   3 -4 
Snake161   Snake149  -3287 -221   -4 1 
Ladder162   Snake108  1000 -3646   -4 -2 
Snake163   Ladder124  4385 -5513   4 4 
Snake164   Ladder65  680 -6476   -4 1 
Ladder165   Ladder67  2293 -2248   -3 -3 
Ladder166   Snake16  2738 -9469   4 -4 
Ladder167   Snake99  9029 1248   0 -2 
Snake168   Snake53  6735 7919   5 4 
Ladder169   Ladder105  709 -341   4 -5 
Ladder170   Ladder138  4188 4688   -3 -3 
Snake171   Ladder28  4005 4954   5 5 
Snake172   Snake61  959 5311   4 4 
Snake173   Snake88  961 -4359   -2 1 
Ladder174   Ladder49  -2888 -3365   -2 -5 
Snake175   Ladder105  3306 -4879   -3 3 
Ladder176   Snake41  -1618 1747   5 -1 
Ladder177   Snake121  -3774 3986   -2 -3 
Snake178   Ladder45  -2008 3248   3 4 
Snake179   Ladder123  -606 2895   -4 2 
Ladder180   Snake104  -5694 -7677   5 -5 
Ladder181   Snake149  2633 -4773   -5 -5 
Snake182   Ladder159  2168 5911   3 3 
Ladder183   Ladder113  -344 1999   -5 -5 
Snake184   Ladder106  1540 -4111   2 5 
Snake185   Ladder62  5486 -2285   2 5 
Snake186   Ladder107  1467 8172   -5 5 
Ladder187   Snake143  6529 -1278   -1 -2 
Snake188   Ladder101  -263 -7698   3 5 
Ladder189   Ladder183  -272 932   -4 -1 
Snake190   Snake75  -6551 -5241   4 2 
Snake191   Ladder12  -3559 -1001   1 5 
Snake192   Ladder91  -1409 -962   3 3 
Snake193   Snake171  4111 1140   -5 3 
Ladder194   Snake77  2390 -361   -5 -1 
Snake195   Ladder159  2374 99   -1 3 
Snake196   Snake1  -71 5197   3 3 
Ladder197   Ladder64  6949 2545   -3 -2 
Snake198   Snake66  -5855 -1222   3 3 
Snake199   Ladder74  3432 4328   -4 2 
Snake200   Snake38  4797 2264   -1 1 
Ladder201   Snake68  33 4012   -4 -3 
Snake202   Ladder73  2483 -3111   -4 3 
Snake203   Ladder101  -6035 -6332   -2 2 
Snake204   Ladder0  -3605 1177   4 4 
Ladder205   Snake41  -4107 -6457   4 -4 
Ladder206   Snake199  -1862 -7069   1 -5 
Ladder207   Snake66  -7712 -6637   3 -2 
Snake208   Snake7  -17 3324   0 4 
Ladder209   Snake158  -260 74   5 -1 
Ladder210   Snake182  -2639 -1562   -3 -2 
Ladder211   Ladder92  5392 1366   -5 -5 
Ladder212   Ladder69  5041 -929   -1 -5 
Ladder213   Snake134  4842 -6967   0 -5 
Ladder214   Ladder56  -6221 -2656   -3 -3 
Ladder215   Ladder129  -6957 3176   -2 -3 
Ladder216   Snake75  2167 -9487   -3 -3 
Ladder217   Ladder32  -854 1083   5 -5 
Ladder218   Snake202  2380 2365   -4 -2 
Ladder219   Ladder73  4295 3598   -3 -4 
Ladder220   Ladder4  -6846 -3048   2 -2 
Snake221   Ladder0  752 -1286   0 4 
Snake222   Snake3  -2700 -5782   -3 3 
Snake223   Snake85  -4598 913   4 3 
Snake224   Snake61  -1327 1260   -5 5 
Ladder225   Ladder78  8141 137   -3 -1 
Snake226   Snake99  6867 6538   2 3 
Ladder227   Ladder137  3846 1635   -1 -1 
Ladder228   Ladder63  -6920 6239   -2 -1 
Ladder229   Snake38  3190 2381   -2 -1 
Ladder230   Snake185  -4856 1719   2 -1 
Snake231   Snake81  860 -3608   3 3 
Snake232   Snake37  4029 2871   5 3 
Ladder233   Ladder40  1683 2327   -4 -2 
Snake234   Ladder14  744 -2353   -5 1 
Snake235   Ladder159  5535 1005   4 2 
Ladder236   Ladder233  -2291 -2704   2 -4 
Snake237   Ladder116  -670 2315   -3 5 
Ladder238   Ladder101  -3828 -7860   4 -1 
Snake239   Snake35  -2622 405   0 2 
Snake240   Snake54  -9393 8884   4 4 
Snake241   Ladder130  -3989 92   -4 2 
Ladder242   Ladder82  -1518 3458   5 -4 
Ladder243   Ladder23  -2766 1955   1 -3 
Ladder244   Ladder129  101 3869   -4 -5 
Ladder245   Snake234  4079 5035   5 -3 
Ladder246   Snake47  -1652 7407   -3 -1 
Ladder247   Ladder78  325 -814   -1 -1 
Ladder248   Snake237  -2724 56   0 -2 
Ladder249   Ladder91  4802 -6205   4 -1 
Ladder250   Ladder27  -1414 7385   -3 -1 
Snake251   Snake221  -3046 1620   -3 1 
Snake252   Ladder140  -5763 -1333   1 2 
Snake253   Ladder189  99 -6435   5 2 
Snake254   Ladder210  7566 -3094   -4 1 
Ladder255   Snake61  4633 -1146   -3 -5 
Snake256   Ladder247  2942 692   -2 2 
Snake257   Snake190  8890 -4043   5 1 
Ladder258   Ladder160  260 -993   1 -2 
Ladder259   Ladder180  3580 4242   0 -4 
Ladder260   Ladder59  4879 -3443   -1 -2 
Ladder261   Snake131  -8483 -1888   -5 -4 
Ladder262   Ladder165  415 3921   -3 -3 
Snake263   Snake232  -6391 431   0 3 
Ladder264   Snake186  -6861 -362   -4 -5 
Snake265   Snake184  -1049 1234   -4 5 
Ladder266   Ladder25  1379 -4588   2 -4 
Ladder267   Ladder248  2906 -7546   -2 -4 
Snake268   Ladder220  8828 -478   -2 1 
Snake269   Snake55  -3561 3941   -2 4 
Ladder270   Ladder80  199 5572   -1 -2 
Ladder271   Snake54  -3964 7535   -4 -1 
Snake272   Snake20  2386 1371   3 5 
Ladder273   Ladder255  556 4716   3 -4 
Snake274   Snake29  -1615 -3941   -4 3 
Ladder275   Snake99  7041 5512   5 -2 
Snake276   Snake182  5306 -648   2 2 
Ladder277   Snake269  7773 -2776   -4 -4 
Snake278   Snake144  -124 -397   -4 2 
Ladder279   Ladder205  1810 600   1 -1 
Ladder280   Ladder67  513 -6501   5 -2 
Ladder281   Snake98  -7217 3896   3 -4 
Ladder282   Snake121  -4892 -1021   4 -4 
Ladder283   Ladder27  -5494 763   1 -3 
Ladder284   Snake81  -2670 -2465   4 -5 
Snake285   Snake86  4574 -2697   3 4 
Ladder286   Ladder261  2920 -4378   -5 -4 
Ladder287   Ladder167  143 -1110   0 -5 
Snake288   Snake134  1602 -4074   4 1 
Snake289   Snake193  -1100 -4328   0 4 
Snake290   Snake48  317 2931   4 1 
Ladder291   Snake31  -3508 8271   1 -2 
Ladder292   Ladder67  6651 -5402   5 -3 
Ladder293   Snake150  3963 3189   5 -2 
Ladder294   Snake104  -1019 -2557   -3 -2 
Ladder295   Snake239  510 134   3 -2 
Snake296   Ladder216  -2626 1209   -2 4 
Snake297   Ladder69  3720 -3160   -4 3 
Ladder298   Snake190  1070 -3096   5 -2 
Snake299   Ladder23  -8277 -447   4 2 
Ladder300   Ladder212  2693 431   -5 -1 
Ladder301   Snake76  -355 -3272   -4 -4 
Snake302   Ladder13  7769 -315   -5 2 
Ladder303   Snake93  1458 -4414   -2 -3 
Ladder304   Ladder146  2596 -886   -3 -2 
Snake305   Snake41  -4030 -6267   3 1 
Ladder306   Snake200  139 448   2 -4 
Ladder307   Ladder229  4049 1378   -1 -5 
Ladder308   Ladder90  -4850 1110   0 -3 
Ladder309   Ladder160  4785 -6154   -2 -2 
Ladder310   Ladder201  1994 2278   0 -4 
Snake311   Snake276  -4101 -5327   -5 4 
Ladder312   Ladder255  -5276 5688   0 -1 
Ladder313   Ladder127  -1951 4953   -3 -5 
Ladder314   Ladder255  804 412   -2 -4 
Snake315   Ladder217  3001 -3532   -3 1 
Snake316   Ladder194  -2767 -4546   -2 3 
Snake317   Ladder105  -3137 -611   -4 3 
Ladder318   Snake171  -693 -588   1 -3 
Ladder319   Ladder312  3574 -3407   -5 -5 
Snake320   Ladder107  3050 6205   4 5 
Snake321   Ladder212  -451 -2151   4 5 
Snake322   Snake320  -8505 -4140   0 2 
Snake323   Snake15  -2640 8169   -1 3 
Snake324   Ladder227  431 2476   -3 1 
Snake325   Ladder282  2777 1439   4 1 
Snake326   Snake70  -471 495   2 1 
Ladder327   Snake153  2818 4750   -2 -4 
Ladder328   Snake326  4900 1428   -2 -3 
Ladder329   Ladder301  -491 -2546   3 -2 
Snake330   Snake161  7240 2226   1 3 
Ladder331   Snake103  -181 -3852   4 -4 
Ladder332   Ladder2  -1521 1956   -3 -5 
Snake333   Ladder17  -350 -1299   5 1 
Ladder334   Snake276  -3965 -98   5 -3 
Ladder335   Ladder46  91 5061   4 -2 
Snake336   Ladder313  -5662 1610   5 5 
Snake337   Snake68  7007 4637   -1 3 
Snake338   Snake98  -3792 5149   3 4 
Ladder339   Snake75  -6459 -2600   2 -3 
Snake340   Snake144  4684 -1685   -3 5 
Snake341   Ladder46  959 2967   -5 5 
Ladder342   Ladder95  731 5274   -3 -2 
Ladder343   Ladder242  -727 3831   2 -5 
Ladder344   Snake1  2562 6459   -5 -4 
Ladder345   Snake226  -5419 -5014   -3 -3 
Snake346   Ladder129  -590 -455   -1 3 
Ladder347   Ladder236  -3976 5206   3 -5 
Snake348   Ladder339  5834 -447   4 5 
Snake349   Snake133  -2156 2112   1 3 
Snake350   Snake3  -1166 -316   4 5 
Snake351   Ladder194  619 2456   -2 1 
Ladder352   Ladder91  3358 -2426   1 -3 
Snake353   Ladder273  -118 3381   -2 1 
Ladder354   Snake39  -4774 -2374   -1 -2 
Ladder355   Ladder280  4806 91   2 -3 
Ladder356   Snake7  -2509 -803   -1 -3 
Snake357   Ladder34  -1736 -349   -5 3 
Snake358   Ladder295  1246 -4353   5 3 
Snake359   Ladder26  5540 -3651   1 4 
Ladder360   Snake102  -478 -3769   2 -5 
Ladder361   Ladder4  -1927 -1426   5 -1 
Snake362   Ladder243  1943 -1518   -4 5 
Snake363   Snake75  -336 -4773   4 3 
Snake364   Ladder156  -2816 -4205   -5 1 
Ladder365   Snake72  -1642 3610   4 -5 
Snake366   Ladder156  -3417 -2735   2 1 
Ladder367   Snake133  -1242 -2326   -3 -4 
Snake368   Ladder69  3696 4031   -5 5 
Ladder369   Ladder287  -4228 4816   1 -3 
Snake370   Ladder140  -4399 3723   -1 4 
Ladder371   Ladder113  -1212 -1433   1 -3 
Ladder372   Ladder120  -1621 1538   -2 -1 
Snake373   Snake364  -4116 5119   -3 1 
Ladder374   Ladder205  4119 3150   0 -3 
Snake375   Ladder212  1527 -2644   0 5 
Ladder376   Snake222  4387 295   0 -4 
Snake377   Snake333  2411 3944   -2 3 
Snake378   Snake128  -530 3497   1 1 
Snake379   Snake323  6989 -6623   -5 3 
Snake380   Ladder211  -6735 -988   0 1 
Snake381   Ladder80  -7689 5937   -4 2 
Snake382   Ladder308  5498 -1229   0 3 
Snake383   Ladder92  4344 751   0 5 
Snake384   Ladder219  -2400 -5851   5 5 
Ladder385   Ladder197  -2669 -3459   -4 -5 
Ladder386   Ladder124  7793 -2746   0 -4 
Ladder387   Ladder18  1884 6847   -4 -4 
Ladder388   Snake336  4865 -1500   -5 -5 
Snake389   Ladder14  -683 -2757   -5 4 
Ladder390   Snake103  2379 -3448   -3 -4 
Snake391   Ladder113  -8329 -2311   2 5 
Snake392   Snake9  6091 -5292   -1 3 
Ladder393   Ladder166  1738 5237   3 -2 
Snake394   Ladder284  3957 -780   1 2 
Ladder395   Snake196  3489 809   2 -2 
Ladder396   Snake157  -8623 4198   0 -2 
Ladder397   Ladder28  8625 -1512   -1 -3 
Snake398   Ladder287  -4062 8207   -4 3 
Snake399   Snake224  2774 -44   1 3 
Ladder400   Ladder13  7297 -212   1 -4 
Ladder401   Snake122  6842 -1190   2 -4 
Snake402   Snake172  -687 -97   -1 3 
Ladder403   Snake99  7998 -325   1 -2 
Ladder404   Ladder115  5614 -3958   -4 -4 
Ladder405   Snake368  699 184   -2 -2 
Snake406   Ladder71  -293 4683   -4 2 
Ladder407   Snake172  -594 -4513   0 -4 
Ladder408   Ladder396  1385 -4612   -2 -5 
Snake409   Snake196  -742 1085   2 4 
Ladder410   Snake221  -5587 -223   -2 -3 
Snake411   Ladder73  3327 141   -5 3 
Snake412   Snake373  7494 642   -2 1 
Snake413   Snake131  -3831 -4360   0 3 
Snake414   Snake289  -2849 -2814   -4 2 
Ladder415   Ladder197  16 -2344   -1 -1 
Snake416   Ladder90  744 4517   5 3 
Snake417   Snake171  -1619 -5897   3 5 
Ladder418   Ladder345  -1904 3753   0 -2 
Ladder419   Snake144  -2319 -5830   -3 -5 
Snake420   Ladder248  8871 -8388   -5 3 
Ladder421   Ladder244  1066 2270   2 -1 
Snake422   Snake3  -2604 -7523   -3 1 
Ladder423   Snake84  3616 2159   3 -5 
Ladder424   Snake47  7181 2540   -4 -1 
Ladder425   Snake1  3260 6536   4 -5 
Snake426   Ladder410  3451 6295   -2 1 
Snake427   Snake350  6505 -6821   -5 5 
Snake428   Snake340  -369 1427   -5 1 
Snake429   Snake198  -321 -2637   5 3 
Ladder430   Ladder233  -6348 -4145   1 -4 
Ladder431   Ladder140  -5885 -94   5 -4 
Ladder432   Ladder118  8066 -2046   -5 -4 
Snake433   Ladder30  349 -4313   5 4 
Ladder434   Snake157  -775 -300   5 -1 
Ladder435   Snake47  5796 2706   0 -3 
Ladder436   Snake103  6047 -7348   -5 -2 
Snake437   Ladder162  -5546 8367   -2 5 
Ladder438   Snake66  -1320 -1007   -3 -5 
Snake439   Ladder432  -7036 6138   1 2 
Ladder440   Ladder32  1197 -1176   4 -4 
Snake441   Ladder259  -5606 1238   1 5 
Ladder442   Snake68  4261 4260   -4 -2 
Snake443   Snake358  3111 681   5 3 
Ladder444   Snake102  -624 -878   4 -1 
Snake445   Ladder369  -2983 -2714   -4 4 
Snake446   Ladder262  -2399 -615   -3 2 
Ladder447   Ladder233  -3360 -4394   -3 -3 
Snake448   Snake366  -235 5921   1 4 
Snake449   Snake15  2992 3449   -2 5 
Ladder450   Snake16  1831 -2237   -3 -2 
Snake451   Ladder339  983 -2695   3 5 
Ladder452   Snake48  2401 3218   -2 -5 
Snake453   Snake254  -3872 -478   4 2 
Ladder454   Snake317  -740 319   -4 -2 
Ladder455   Snake68  5094 7584   -1 -3 
Ladder456   Ladder243  3701 109   -5 -3 
Ladder457   Ladder267  4583 3470   5 -2 
Snake458   Snake448  -321 -4153   -2 1 
Ladder459   Snake175  -7217 2559   -5 -1 
Snake460   Ladder410  6277 3852   5 5 
Snake461   Ladder30  -740 3338   3 3 
Ladder462   Snake382  -7167 3952   -2 -4 
Snake463   Snake316  465 -1445   -2 4 
Snake464   Ladder312  -3 2520   0 5 
Ladder465   Ladder242  997 1879   -5 -5 
Snake466   Snake53  -1301 7380   1 3 
Ladder467   Snake325  4158 919   1 -3 
Snake468   Ladder467  -7974 475   -1 4 
Ladder469   Ladder183  63 -4396   3 -2 
Snake470   Ladder300  411 -1530   5 1 
Ladder471   Ladder292  -4128 -991   -5 -2 
Ladder472   Ladder212  899 865   -3 -3 
Snake473   Ladder57  1067 -1688   0 3 
Snake474   Snake333  -93 1170   5 1 
Ladder475   Ladder64  1121 674   1 -4 
Snake476   Ladder91  4654 1785   -5 1 
Snake477   Snake272  1412 6151   4 2 
Ladder478   Snake380  199 7090   -1 -3 
Snake479   Snake476  -3301 -328   4 4 
Ladder480   Snake239  -3735 -1267   0 -3 
Ladder481   Ladder246  3815 -2992   -4 -2 
Snake482   Snake192  5548 -1814   -3 1 
Ladder483   Ladder236  -2849 -2262   2 -4 
Snake484   Ladder410  7992 4521   0 3 
Snake485   Snake221  -468 773   4 5 
Ladder486   Ladder213  1126 1033   -1 -1 
Ladder487   Snake373  1541 -6940   -3 -1 
Ladder488   Ladder213  -816 -684   -4 -1 
Snake489   Snake35  -310 -8369   -4 2 
Snake490   Ladder319  -1339 3216   -5 4 
Ladder491   Snake302  703 5364   -2 -3 
Snake492   Snake128  3207 1703   4 4 
Ladder493   Snake179  -546 -870   -4 -3 
Ladder494   Snake330  -8803 -509   -1 -2 
Snake495   Ladder423  -771 855   1 3 
Snake496   Ladder245  -5366 -957   -5 5 
Snake497   Snake479  1731 -1196   3 3 
Ladder498   Snake103  1006 -9163   4 -5 
Ladder499   Ladder211  -2580 4269   1 -2 
Snake500   Ladder304  -4155 -2105   2 4 
Ladder501   Snake102  -4499 -2681   -1 -5 
Ladder502   Snake439  4813 -6469   4 -3 
Ladder503   Ladder162  2250 6176   -3 -2 
Ladder504   Ladder146  490 -2732   3 -1 
Snake505   Snake86  -818 -412   5 4 
Snake506   Snake38  342 -4653   4 2 
Ladder507   Snake443  -8313 -2630   0 -4 
Snake508   Ladder408  1828 -331   -4 2 
Snake509   Snake196  -1785 -783   3 2 
Snake510   Ladder138  2897 -1507   -2 3 
Ladder511   Snake241  2422 6637   3 -2 
Snake512   Ladder56  -5897 804   5 4 
Ladder513   Ladder74  -1886 4484   -1 -5 
Ladder514   Ladder327  3949 612   3 -3 
Ladder515   Snake458  1225 -36   2 -5 
Ladder516   Snake157  -6780 3641   3 -1 
Snake517   Snake86  5371 376   -5 1 
Ladder518   Snake164  3648 8709   1 -5 
Snake519   Ladder201  1793 -1428   1 4 
Ladder520   Ladder139  6800 5755   2 -1 
Ladder521   Ladder372  -3115 6188   1 -4 
Ladder522   Snake315  -5859 98   -5 -1 
Ladder523   Snake38  7396 -3363   5 -2 
Ladder524   Ladder459  2838 532   0 -5 
Snake525   Snake150  519 2511   -4 3 
Ladder526   Snake153  -265 374   -3 -5 
Ladder527   Ladder156  -335 -6012   -4 -1 
Ladder528   Ladder511  868 -1369   -5 -1 
Snake529   Ladder331  2432 1077   3 5 
Snake530   Snake185  365 2417   -5 3 
Snake531   Ladder393  -3503 -3462   -5 3 
Snake532   Snake37  -1420 -2918   3 5 
Snake533   Snake37  5824 -2245   5 5 
Snake534   Ladder367  2186 4945   1 2 
Ladder535   Ladder176  -4168 -4491   2 -5 
Snake536   Ladder207  609 2389   4 3 
Ladder537   Ladder249  -5162 7483   4 -2 
Ladder538   Snake358  830 704   1 -4 
Snake539   Snake208  1305 -3157   -2 2 
Snake540   Ladder33  -3567 -1518   2 1 
Snake541   Ladder502  -5824 1764   3 5 
Ladder542   Snake52  -1272 -8269   2 -2 
Ladder543   Snake489  2179 7796   -1 -5 
Snake544   Snake161  8 -2322   3 2 
Snake545   Ladder21  -5869 -4638   -3 3 
Snake546   Snake348  1473 2435   -2 3 
Snake547   Snake103  362 -3720   5 2 
Ladder548   Snake466  5239 -3637   0 -5 
Snake549   Ladder211  478 -2657   4 2 
Snake550   Ladder488  -2361 7207   -1 4 
Snake551   Snake254  -3199 2312   -4 3 
Ladder552   Snake497  3046 -986   0 -3 
Ladder553   Ladder22  -4606 515   -3 -5 
Ladder554   Ladder250  4708 -1951   5 -3 
Snake555   Ladder498  1757 5463   -2 2 
Snake556   Ladder209  -2856 5102   -3 2 
Ladder557   Ladder71  5379 5228   -3 -4 
Snake558   Snake439  285 1922   4 1 
Ladder559   Ladder23  -7527 -555   2 -2 
Snake560   Ladder277  -1005 4401   -1 4 
Snake561   Ladder97  642 -293   -4 4 
Snake562   Snake549  -1124 -28   5 4 
Snake563   Ladder542  6353 -148   5 2 
Ladder564   Ladder43  1958 2720   5 -4 
Ladder565   Snake321  -5539 8433   -2 -2 
Snake566   Snake276  -4236 1209   5 4 
Ladder567   Ladder491  -5475 -1230   0 -1 
Snake568   Snake185  592 -2263   2 3 
Ladder569   Snake409  3458 -6713   -4 -4 
Ladder570   Snake289  -1466 -1235   3 -2 
Ladder571   Ladder261  886 -6294   5 -4 
Ladder572   Ladder213  -4938 1437   2 -2 
Ladder573   Ladder33  -6203 2712   0 -4 
Snake574   Snake252  5830 2710   -4 3 
Snake575   Ladder106  -476 -2158   0 4 
Ladder576   Ladder559  -591 -5518   1 -4 
Ladder577   Ladder522  9406 810   -5 -4 
Snake578   Ladder12  -2189 -739   0 4 
Ladder579   Snake392  -2052 -2414   1 -4 
Ladder580   Snake474  -2805 -2309   -5 -5 
Ladder581   Ladder218  -823 -1833   -5 -3 
Ladder582   Ladder228  -1993 219   0 -3 
Snake583   Snake417  4017 7746   3 4 
Ladder584   Ladder139  1053 1682   -2 -4 
Snake585   Snake200  -3759 -4022   -2 1 
Snake586   Ladder59  1077 -3794   -3 3 
Ladder587   Snake555  2496 -4460   -4 -3 
Snake588   Ladder279  -978 2625   -4 4 
Ladder589   Ladder137  -3166 984   -5 -5 
